No.,Bahnaric,Vietnamese,PoS tag
1,abĕn,váy,Noun
2,abŭt,băo,Verb
3,ada,vịt,Noun
4,adal adal,"cẩn thận, khe khẽ, thong thả",Adjective
5,adon,xếp,Verb
6,adral,đánh dấu,Verb
7,adrang,đuổi đi,Verb
8,adrêch,"nòi, nòi giống",Noun
9,adrih 'ba,"mạ, cây mạ",Noun
10,adrin,"quá, lắm",Adverb
11,adrĭng,"cùng, với",Adverb
12,adrơ,"bộ mặt, khuôn mặt",Noun
13,adơi,cùng,Adverb
14,adrơ̆i jul,"chúc, chúc xuống",Verb
15,adruh,nữ thanh niên,Noun
16,adrung 'yĕr,chuồng gà,Noun
17,adrŭn,nhún,Verb
18,agah,ngoài,Noun
19,agĕi,giỏi,Adjective
20,"agreng, agrưch",xiêu,Verb
21,ahrĕi ơ̆u,"bây giờ, hiện nay",Adverb
22,ai bĭ mah,"rủi, không may",Adjective
23,ai brư̆,"họa, tai họa",Noun
24,akap,"bẫy, cái bẫy",Noun
25,akău,"thân, mình, thân thể",Noun
26,akău soh,trần,Adjective
27,akĕ,gầy,Adjective
28,akĕ akĕ blong blong,mảnh mai,Adjective
29,akĕ akoih,quắt,Adjective
30,"akhan,khan, tơja",nói,Verb
31,akhan ăn,trả lời,Verb
32,akŏm,thu hoạch,Verb
33,akơn,"gối, gối lên",Verb
34,akuk,"cúm, bệnh cúm",Noun
35,al,chặt,Adjective
36,"ala, gah ala","dưới, phía dưới",Preposition
37,alah plach,"gian, gian dối",Adjective
38,alăng,"khôn, khôn khéo, tỉnh táo",Adjective
39,alăng aluôh,khôn ngoan,Adjective
40,aleh,"rỗi, rỗi rãi",Adjective
41,"alê̆,lê̆",biết,Verb
42,aliêt,sờ,Verb
43,amăk,"mắc, ngoắc vào",Verb
44,"amem bơnat, amem mơnat","yêu quý, âu yĕm",Verb
45,amông,buồng,Noun
46,amrĕ,ớt,Noun
47,anat,khó,Adjective
48,anăn măt,họ tên,Noun
49,angiêng,"gào, hét",Verb
